# Supplemental File S1 - Sheffield Nanopore Canonical ORF Sub-Genomic RNA Counts
# Canonical ORF counts for the Sheffield Nanopore dataset from clinical SARS-CoV-2 samples
# mapped_reads: Total mapped reads
# amplicons: The amplicon(s) that gave rise to the sub-genomic RNA
# gRNA_count: The number of genomic reads at this ORF
# sgRNA_HQ_count: The number of high quality reads supporting sub-genomic RNA at this ORF
# sgRNA_LQ_count: The number of low quality reads supporting sub-genomic RNA at this ORF
# sgRNA_LLQ_count: The number of low low quality reads supporting sub-genomic RNA at this ORF
# gRHPT: Genomic reads per hundred thousand mapped reads
# sgRPTg_HQ: High quality sub-genomic reads per thousand genomic
# sgRPTg_LQ: Low quality sub-genomic reads per thousand genomic
# sgRPTg_LLQ: Low low quality sub-genomic reads per thousand genomic
# sgRPTg_ALL: All sub-genomic reads per thousand genomic
# sgRPHT_HQ: High quality sub-genomic reads per hundred thousand mapped reads
# sgRPHT_LQ: Low quality sub-genomic reads per hundred thousand mapped reads
# sgRPHT_LLQ: Low low quality sub-genomic reads per hundred thousand mapped reads
# sgRPHT_All: All sub-genomic reads per hundred thousand mapped reads
sample,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
SHEF-C002A,S,260877,71|72,4708,73,50,26,1804.6819,35.01199041,23.88244189,12.47002398,71.36445628,27.98253583,19.16612043,9.966382625,57.11503889
SHEF-C002A,ORF3a,260877,83|84,5631,5,4,15,2158.488483,1.704739175,1.36379134,5.173611699,8.242142214,1.916612043,1.533289635,5.74983613,9.199737807
SHEF-C002A,E,260877,86|87|88,8731,19,7,179,3346.78795,7.621458225,2.728661704,72.10184272,82.45196265,7.283125764,2.683256861,68.61471115,78.58109377
SHEF-C002A,M,260877,87|88,5414,131,45,14,2075.30752,52.92890159,18.13925758,5.663430421,76.73158959,50.21523553,17.24950839,5.366513721,72.83125764
SHEF-C002A,ORF6,260877,89|90,4146,15,4,6,1589.254706,14.55601891,4.287245445,6.430868167,25.27413252,5.74983613,1.533289635,2.299934452,9.583060216
SHEF-C002A,ORF7a,260877,90|91,4931,1,6,5,1890.162797,0.311235605,2.679923347,1.556178027,4.547336979,0.383322409,2.299934452,1.916612043,4.599868904
SHEF-C002A,ORF8,260877,92,2300,1,3,7,881.6415399,0.434782609,1.304347826,3.043478261,4.782608696,0.383322409,1.149967226,2.683256861,4.216546495
SHEF-C002A,N,260877,93,3530,100,43,31,1353.128103,28.3286119,12.18130312,8.781869688,49.2917847,38.33224086,16.48286357,11.88299467,66.6980991
SHEF-C002A,N*,260877,95,1425,0,0,5,546.2344323,0,0,3.50877193,3.50877193,0,0,1.916612043,1.916612043
SHEF-C002A,ORF10,260877,97|98,4065,0,0,32,1558.205591,0,0,19.938086,19.938086,0,0,12.26631708,12.26631708
SHEF-C0039,ORF1a,244404,1|2,3037,1460,495,45,1242.614687,4896.338251,1655.09261,151.0067114,6702.437572,597.3715651,202.5335101,18.41213728,818.3172125
SHEF-C0039,S,244404,71,1992,99,40,52,815.0439436,49.69879518,20.08032129,26.10441767,95.88353414,40.50670202,16.36634425,21.27624752,78.14929379
SHEF-C0039,ORF3a,244404,84|85,4622,2,0,17,1891.131078,0.741839763,0,6.4539289,7.195768663,0.818317212,0,6.955696306,7.774013519
SHEF-C0039,E,244404,86|87|88,7490,10,7,170,3064.597961,4.361098997,3.052769298,73.81315577,81.22702407,4.091586062,2.864110244,69.55696306,76.51265937
SHEF-C0039,M,244404,87,2293,157,68,10,938.2006841,68.46925425,29.65547318,4.361098997,102.4858264,64.23790118,27.82278522,4.091586062,96.15227247
SHEF-C0039,ORF6,244404,89,1106,13,4,9,452.5294185,11.75406872,3.616636528,8.137432188,23.50813743,5.319061881,1.636634425,3.682427456,10.63812376
SHEF-C0039,ORF7a,244404,90|91,4285,2,0,14,1753.244628,0.753863551,0,5.512858178,6.266721728,0.818317212,0,5.728220487,6.5465377
SHEF-C0039,ORF8,244404,92,1969,1,1,10,805.6332957,0.507872016,0.507872016,5.078720163,6.094464195,0.409158606,0.409158606,4.091586062,4.909903275
SHEF-C0039,N,244404,93|94,5858,126,60,36,2396.851115,36.04839759,17.09888857,10.40006474,63.5473509,51.55398439,24.54951637,14.72970982,90.83321059
