# Supplemental File S19 - ENA Accession Number to ID Used in Manuscript
# ENA Accession number conversion
# ena_accession: ENA accession number
# study_id: Sample ID used in this manuscript
ena_accession,study_id
ERS5552854,SHEF-D0D99
ERS5552855,SHEF-C9D84
ERS5552856,SHEF-C3E0F
ERS5552857,SHEF-CD8AD
ERS5552858,SHEF-C5FEC
ERS5552859,SHEF-C1706
ERS5552860,SHEF-CBCC1
ERS5552861,SHEF-CFEB8
ERS5552862,SHEF-D269C
ERS5552863,SHEF-D29EE
ERS5552864,SHEF-CE138
ERS5552865,SHEF-CB001
ERS5552866,SHEF-CD39D
ERS5552867,SHEF-D15BE
ERS5552868,SHEF-CD1B1
ERS5552869,SHEF-CFDCA
ERS5552870,SHEF-CB317
ERS5552871,SHEF-D0528
ERS5552872,SHEF-C15FD
ERS5552873,SHEF-CCDFA
ERS5552874,SHEF-CBC58
ERS5552875,SHEF-CF322
ERS5552876,SHEF-C2626
ERS5552877,SHEF-C151B
ERS5552878,SHEF-CFE03
ERS5552879,SHEF-CA0B7
ERS5552880,SHEF-C6EA2
ERS5552881,SHEF-CFA4B
ERS5552882,SHEF-C7296
ERS5552883,SHEF-CA020
ERS5552884,SHEF-C2CF7
ERS5552885,SHEF-CB5E4
ERS5552886,SHEF-C5359
ERS5552887,SHEF-C0FB4
ERS5552888,SHEF-C6C11
ERS5552889,SHEF-CC905
ERS5552890,SHEF-C1B64
ERS5552891,SHEF-CF340
ERS5552892,SHEF-CD97D
ERS5552893,SHEF-C56AB
ERS5552894,SHEF-CBECB
ERS5552895,SHEF-C64CE
ERS5552896,SHEF-C426C
ERS5552897,SHEF-CA1F0
ERS5552898,SHEF-D1F56
ERS5552899,SHEF-C05A3
ERS5552900,SHEF-C093E
ERS5552901,SHEF-C07AD
ERS5552902,SHEF-C07DA
ERS5552903,SHEF-C079E
ERS5552904,SHEF-C07CB
ERS5552905,SHEF-C07BC
ERS5552906,SHEF-C07E9
ERS5552907,SHEF-C08E6
ERS5552908,SHEF-C0831
ERS5552909,SHEF-C086E
ERS5552910,SHEF-C08AA
ERS5552911,SHEF-C08C8
ERS5552912,SHEF-C0813
ERS5552913,SHEF-C0804
ERS5552914,SHEF-C087D
ERS5552915,SHEF-C0822
ERS5552916,SHEF-C0901
ERS5552917,SHEF-C08B9
ERS5552918,SHEF-C089B
ERS5552919,SHEF-C08F5
ERS5552920,SHEF-C088C
ERS5552921,SHEF-C07F8
ERS5552922,SHEF-C092F
ERS5552923,SHEF-C0840
ERS5552924,SHEF-C04A6
ERS5552925,SHEF-C042E
ERS5552926,SHEF-C02CA
ERS5552927,SHEF-C0321
ERS5552928,SHEF-C029D
ERS5552929,SHEF-C0303
ERS5552930,SHEF-C03C7
ERS5552931,SHEF-C038B
ERS5552932,SHEF-C0479
ERS5552933,SHEF-C0242
ERS5552934,SHEF-C0400
ERS5552935,SHEF-C0497
ERS5552936,SHEF-C03F4
ERS5552937,SHEF-C0260
ERS5552938,SHEF-C03A9
ERS5552939,SHEF-C02BB
ERS5552940,SHEF-C044C
ERS5552941,SHEF-C028E
ERS5552942,SHEF-C039A
ERS5552943,SHEF-C0251
ERS5552944,SHEF-C03B8
ERS5552945,SHEF-C0206
ERS5552946,SHEF-C0233
ERS5552947,SHEF-C04C4
ERS5552948,SHEF-C0488
ERS5552949,SHEF-C04B5
ERS5552950,SHEF-C045B
ERS5552951,SHEF-C0215
ERS5552952,SHEF-C034F
ERS5552953,SHEF-C036D
ERS5552954,SHEF-C02E8
ERS5552955,SHEF-C02AC
ERS5552956,SHEF-C027F
ERS5552957,SHEF-C041F
ERS5552958,SHEF-C0224
ERS5552959,SHEF-C03D6
ERS5552960,SHEF-C04D3
ERS5552961,SHEF-C0330
ERS5552962,SHEF-C046A
ERS5552963,SHEF-C0312
ERS5552964,SHEF-C043D
ERS5552965,SHEF-C02D9
ERS5552966,SHEF-C037C
ERS5552967,SHEF-C035E
ERS5552968,SHEF-C03E5
ERS5552969,SHEF-C02F7
ERS5552970,SHEF-BFD09
ERS5552971,SHEF-C0716
ERS5552972,SHEF-C0594
ERS5552973,SHEF-C052B
ERS5552974,SHEF-BFF9A
ERS5552975,SHEF-BFF7C
ERS5552976,SHEF-C0154
ERS5552977,SHEF-C01FA
ERS5552978,SHEF-BFEE8
ERS5552979,SHEF-C0127
ERS5552980,SHEF-BFF30
ERS5552981,SHEF-BFFA9
ERS5552982,SHEF-C01CD
ERS5552983,SHEF-BFE8E
ERS5552984,SHEF-BFEF7
ERS5552985,SHEF-BFF12
ERS5552986,SHEF-BFFB8
ERS5552987,SHEF-BFFE5
ERS5552988,SHEF-C0145
ERS5552989,SHEF-C0691
ERS5552990,SHEF-C0682
ERS5552991,SHEF-C050D
ERS5552992,SHEF-C053A
ERS5552993,SHEF-C0664
ERS5552994,SHEF-C0628
ERS5552995,SHEF-C051C
ERS5552996,SHEF-C0770
ERS5552997,SHEF-C0084
ERS5552998,SHEF-C0743
ERS5552999,SHEF-C0637
ERS5553000,SHEF-C0734
ERS5553001,SHEF-C05FE
ERS5553002,SHEF-C05B2
ERS5553003,SHEF-C06CE
ERS5553004,SHEF-C05D0
ERS5553005,SHEF-C0585
ERS5553006,SHEF-C06BF
ERS5553007,SHEF-C0549
ERS5553008,SHEF-C06DD
ERS5553009,SHEF-C0673
ERS5553010,SHEF-BFEAC
ERS5553011,SHEF-BFF03
ERS5553012,SHEF-BFFC7
ERS5553013,SHEF-BFEBB
ERS5553014,SHEF-C01AF
ERS5553015,SHEF-BFED9
ERS5553016,SHEF-BFF5E
ERS5553017,SHEF-C01BE
ERS5553018,SHEF-BFF6D
ERS5553019,SHEF-C01EB
ERS5553020,SHEF-BFFD6
ERS5553021,SHEF-C0163
ERS5553022,SHEF-BFF4F
ERS5553023,SHEF-BFF21
ERS5553024,SHEF-C0190
ERS5553025,SHEF-BFF8B
ERS5553026,SHEF-C0118
ERS5553027,SHEF-C0172
ERS5553028,SHEF-BFE9D
ERS5553029,SHEF-C0181
ERS5553030,SHEF-C0725
ERS5553031,SHEF-C0752
ERS5553032,SHEF-C04E2
ERS5553033,SHEF-C06FB
ERS5553034,SHEF-C078F
ERS5553035,SHEF-C0057
ERS5553036,SHEF-C00DF
ERS5553037,SHEF-C0093
ERS5553038,SHEF-C04F1
ERS5553039,SHEF-C0707
ERS5553040,SHEF-C0075
ERS5553041,SHEF-C002A
ERS5553042,SHEF-C000C
ERS5553043,SHEF-C00EE
ERS5553044,SHEF-C0039
ERS5553045,SHEF-C00B1
ERS5553046,SHEF-C0066
ERS5553047,SHEF-C0646
ERS5553048,SHEF-C06A0
ERS5553049,SHEF-BFFF4
ERS5553050,SHEF-C05C1
ERS5553051,SHEF-C001B
ERS5553052,SHEF-C0576
ERS5553053,SHEF-C060A
ERS5553054,SHEF-C00A2
ERS5553055,SHEF-C0048
ERS5553056,SHEF-C00FD
ERS5553057,SHEF-BFD81
ERS5553058,SHEF-BFE42
ERS5553059,SHEF-BFDAF
ERS5553060,SHEF-BFDFA
ERS5553061,SHEF-BFE15
ERS5553062,SHEF-C0619
ERS5553063,SHEF-BFD90
ERS5553064,SHEF-BFDBE
ERS5553065,SHEF-BFD63
ERS5553066,SHEF-BFE24
ERS5553067,SHEF-BFE06
ERS5553068,SHEF-C00C0
ERS5553069,SHEF-BFE51
ERS5553070,SHEF-BFE33
ERS5553071,SHEF-BFD72
ERS5553072,SHEF-BFDCD
ERS5553073,SHEF-BFDEB
ERS5553074,SHEF-C0655
ERS5553075,SHEF-BFE7F
ERS5553076,SHEF-BFCFD
ERS5553077,SHEF-BFD18
ERS5553078,SHEF-BFD45
ERS5553079,SHEF-BFD36
ERS5553080,SHEF-BFCEE
ERS5553081,SHEF-BFE60
ERS5553082,SHEF-BFD54
ERS5553083,SHEF-BFC93
ERS5553084,SHEF-BFCB1
ERS5553085,SHEF-BFD27
ERS5553086,SHEF-BFCC0
ERS5553087,SHEF-BFCDF
ERS5553088,SHEF-BFCA2
ERS5553109,CVR196
ERS5553110,CVR1996
ERS5553111,CVR201
ERS5553112,CVR206
ERS5553113,CVR2091
ERS5553114,CVR2096
ERS5553115,CVR2125
ERS5553116,CVR2131
ERS5553117,CVR2133
ERS5553118,CVR213
ERS5553119,CVR215
ERS5553120,CVR2162
ERS5553121,CVR2166
ERS5553122,CVR2176
ERS5553123,CVR2178
ERS5553124,CVR2185
ERS5553125,CVR2187
ERS5553126,CVR2190
ERS5553127,CVR2191
ERS5553128,CVR2201
ERS5553129,CVR2213
ERS5553130,CVR2231
ERS5553131,CVR2234
ERS5553132,CVR2235
ERS5553133,CVR2239
ERS5553134,CVR2240
ERS5553135,CVR2243
ERS5553136,CVR2247
ERS5553137,CVR2251
ERS5553138,CVR2255
ERS5553139,CVR2265
ERS5553140,CVR2267
ERS5553141,CVR2306
ERS5553142,CVR2307
ERS5553143,CVR2313
ERS5553144,CVR2319
ERS5553145,CVR2322
ERS5553146,CVR2386
ERS5553147,CVR2398
ERS5553148,CVR2417
ERS5553149,CVR2473
ERS5553150,CVR2484
ERS5553151,CVR2712
ERS5553152,CVR2728
ERS5553153,CVR2773
ERS5553154,CVR2775
ERS5553155,CVR2904
ERS5553156,CVR2905
ERS5553157,CVR3903
ERS5553158,CVR3935
ERS5553159,CVR3936
ERS5553160,CVR3937
ERS5553161,CVR3938
ERS5553162,CVR3939
ERS5553163,CVR3940
ERS5553164,CVR3941
ERS5553165,CVR3942
ERS5553166,CVR3943
ERS5553167,CVR3944
ERS5553168,CVR3945
ERS5563628,VA_GLA1_24_S17_illumina
ERS5563629,VA_GLA1_48_S49_illumina
ERS5563630,VA_GLA1_72_S97_illumina
ERS5563631,VA_GLA2_24_S33_illumina
ERS5563632,VA_GLA2_48_S66_illumina
ERS5563633,VA_GLA2_72_S106_illumina
ERS5563634,VA_PHE2_24_S2_illumina
ERS5563635,VA_PHE2_48_S42_illumina
ERS5563636,VA_PHE2_72_S82_illumina
ERS5563637,VAT_GLA1_24_S18_illumina
ERS5563638,VAT_GLA1_48_S50_illumina
ERS5563639,VAT_GLA1_72_S98_illumina
ERS5563640,VAT_GLA2_24_S34_illumina
ERS5563641,VAT_GLA2_48_S73_illumina
ERS5563642,VAT_GLA2_72_S113_illumina
ERS5563643,VAT_PHE2_24_S9_illumina
ERS5563644,VAT_PHE2_48_S57_illumina
ERS5563645,VAT_PHE2_72_S89_illumina
ERS5563646,V_GLA1_24_S10_illumina
ERS5563647,V_GLA1_48_S58_illumina
ERS5563648,V_GLA1_72_S90_illumina
ERS5563649,V_GLA2_24_S25_illumina
ERS5563650,V_GLA2_48_S65_illumina
ERS5563651,V_GLA2_72_S105_illumina
ERS5563652,V_PHE2_24_S1_illumina
ERS5563653,V_PHE2_48_S41_illumina
ERS5563654,V_PHE2_72_S81_illumina
ERS5563655,VA_GLA1_24_ont
ERS5563656,VA_GLA1_48_ont
ERS5563657,VA_GLA1_72_ont
ERS5563658,VA_GLA2_24_ont
ERS5563659,VA_GLA2_48_ont
ERS5563660,VA_GLA2_72_ont
ERS5563661,VA_PHE2_24_ont
ERS5563662,VA_PHE2_48_ont
ERS5563663,VA_PHE2_72_ont
ERS5563664,VAT_GLA1_24_ont
ERS5563665,VAT_GLA1_48_ont
ERS5563666,VAT_GLA1_72_ont
ERS5563667,VAT_GLA2_24_ont
ERS5563668,VAT_GLA2_48_ont
ERS5563669,VAT_GLA2_72_ont
ERS5563670,VAT_PHE2_24_ont
ERS5563671,VAT_PHE2_48_ont
ERS5563672,VAT_PHE2_72_ont
ERS5563673,V_GLA1_24_ont
ERS5563674,V_GLA1_48_ont
ERS5563675,V_GLA1_72_ont
ERS5563676,V_GLA2_24_ont
ERS5563677,V_GLA2_48_ont
ERS5563678,V_GLA2_72_ont
ERS5563679,V_PHE2_24_ont
ERS5563680,V_PHE2_48_ont
ERS5563681,V_PHE2_72_ont
ERS5563768,SHEF-C0989
ERS5563769,SHEF-C09D4
ERS5563770,SHEF-C0A86
ERS5563771,SHEF-C0B92
ERS5563772,SHEF-C0CF9
ERS5563773,SHEF-C0EF3
ERS5563774,SHEF-C0FF0
ERS5563775,SHEF-C1029
ERS5563776,SHEF-C1108
ERS5563777,SHEF-C119F
ERS5563778,SHEF-C1C07
ERS5563779,SHEF-C1C25
ERS5563780,SHEF-C1DAA
ERS5563781,SHEF-C1ED4
ERS5563782,SHEF-C1FB3
ERS5563783,SHEF-C2064
ERS5563784,SHEF-C232F
ERS5563785,SHEF-C235C
ERS5563786,SHEF-C2459
ERS5563787,SHEF-C2477
ERS5563788,SHEF-C25FC
ERS5563789,SHEF-C2617
ERS5563790,SHEF-C2671
ERS5563791,SHEF-C26AE
ERS5563792,SHEF-C277E
ERS5563793,SHEF-C27F6
ERS5563794,SHEF-C286C
ERS5563795,SHEF-C293C
ERS5563796,SHEF-C2C7F
ERS5563797,SHEF-C2D30
ERS5563798,SHEF-C2DE5
ERS5563799,SHEF-C31CA
ERS5563800,SHEF-C335B
ERS5563801,SHEF-C34A3
ERS5563802,SHEF-C35DD
ERS5563803,SHEF-C35FB
ERS5563804,SHEF-C3740
ERS5563805,SHEF-C3968
ERS5563806,SHEF-C3986
ERS5563807,SHEF-C3A0B
ERS5563808,SHEF-C3B08
ERS5563809,SHEF-C3B17
ERS5563810,SHEF-C3B71
ERS5563811,SHEF-C3C50
ERS5563812,SHEF-C419C
ERS5563813,SHEF-C41F6
ERS5563814,SHEF-C42B7
ERS5563815,SHEF-C42C6
ERS5563816,SHEF-C4554
ERS5563817,SHEF-C469D
ERS5563818,SHEF-C4F56
ERS5563819,SHEF-C4F74
ERS5563820,SHEF-C50BC
ERS5563821,SHEF-C517D
ERS5563822,SHEF-C541A
ERS5563823,SHEF-C5483
ERS5563824,SHEF-C54FC
ERS5563825,SHEF-C5580
ERS5563826,SHEF-C5711
ERS5563827,SHEF-C58A5
ERS5563828,SHEF-C590C
ERS5563829,SHEF-C5C30
ERS5563830,SHEF-C5E1C
ERS5563831,SHEF-C5F64
ERS5563832,SHEF-C60F7
ERS5563833,SHEF-C62E2
ERS5563834,SHEF-C6376
ERS5563835,SHEF-C6491
ERS5563836,SHEF-C65AD
ERS5563837,SHEF-C676B
ERS5563838,SHEF-C6886
ERS5563839,SHEF-C68C2
ERS5563840,SHEF-C69FC
ERS5563841,SHEF-C6ABD
ERS5563842,SHEF-C6D78
ERS5563843,SHEF-C6DC3
ERS5563844,SHEF-C6F27
ERS5563845,SHEF-C707E
ERS5563846,SHEF-C721E
ERS5563847,SHEF-C7339
ERS5563848,SHEF-C7409
ERS5563849,SHEF-C7454
ERS5563850,SHEF-C7560
ERS5563851,SHEF-C7885
ERS5563852,SHEF-C78B2
ERS5563853,SHEF-C7928
ERS5563854,SHEF-C7AE9
ERS5563855,SHEF-C7B6E
ERS5563856,SHEF-C7E92
ERS5563857,SHEF-C7EDE
ERS5563858,SHEF-C7F26
ERS5563859,SHEF-C7F35
ERS5563860,SHEF-C83FC
ERS5563861,SHEF-C84DB
ERS5563862,SHEF-C8514
ERS5563863,SHEF-C85AB
ERS5563864,SHEF-C86A8
ERS5563865,SHEF-C870F
ERS5563866,SHEF-C8778
ERS5563867,SHEF-C8787
ERS5563868,SHEF-C8857
ERS5563869,SHEF-C88C0
ERS5563870,SHEF-C8A33
ERS5563871,SHEF-C8EEC
ERS5563872,SHEF-C8F07
ERS5563873,SHEF-C8FBC
ERS5563874,SHEF-C904F
ERS5563875,SHEF-C908B
ERS5563876,SHEF-C92D0
ERS5563877,SHEF-C9319
ERS5563878,SHEF-C948F
ERS5563879,SHEF-C9540
ERS5563880,SHEF-C95B9
ERS5563881,SHEF-C96F2
ERS5563882,SHEF-C98DE
ERS5563883,SHEF-C999F
ERS5563884,SHEF-C99BD
ERS5563885,SHEF-C9A05
ERS5563886,SHEF-C9A23
ERS5563887,SHEF-C9CC3
ERS5563888,SHEF-C9F9D
ERS5563889,SHEF-CA002
ERS5563890,SHEF-CA0F3
ERS5563891,SHEF-CA10F
ERS5563892,SHEF-CA266
ERS5563893,SHEF-CA6A6
ERS5563894,SHEF-CA73A
ERS5563895,SHEF-CAA5F
ERS5563896,SHEF-CAA8C
ERS5563897,SHEF-CAF05
ERS5563898,SHEF-CAFBA
ERS5563899,SHEF-CB0E3
ERS5563900,SHEF-CB10E
ERS5563901,SHEF-CB238
ERS5563902,SHEF-CB49C
ERS5563903,SHEF-CB5B7
ERS5563904,SHEF-CB60F
ERS5563905,SHEF-CB739
ERS5563906,SHEF-CB7C0
ERS5563907,SHEF-CB809
ERS5563908,SHEF-CB933
ERS5563909,SHEF-CBA6D
ERS5563910,SHEF-CBAC7
ERS5563911,SHEF-CBB6A
ERS5563912,SHEF-CBF22
ERS5563913,SHEF-CC000
ERS5563914,SHEF-CC097
ERS5563915,SHEF-CC1C1
ERS5563916,SHEF-CC361
ERS5563917,SHEF-CC370
ERS5563918,SHEF-CC440
ERS5563919,SHEF-CC6E0
ERS5563920,SHEF-CC747
ERS5563921,SHEF-CC817
ERS5563922,SHEF-CC8CC
ERS5563923,SHEF-CC8DB
ERS5563924,SHEF-CCA99
ERS5563925,SHEF-CCAC6
ERS5563926,SHEF-CCAE4
ERS5563927,SHEF-CCC2A
ERS5563928,SHEF-CCCEE
ERS5563929,SHEF-CCECA
ERS5563930,SHEF-CCEE8
ERS5563931,SHEF-CCF8B
ERS5563932,SHEF-CCFB8
ERS5563933,SHEF-CD245
ERS5563934,SHEF-CD3CA
ERS5563935,SHEF-CD412
ERS5563936,SHEF-CD53D
ERS5563937,SHEF-CD6B2
ERS5563938,SHEF-CD95F
ERS5563939,SHEF-CD96E
ERS5563940,SHEF-CDBE0
ERS5563941,SHEF-CDC29
ERS5563942,SHEF-CDC92
ERS5563943,SHEF-CDD08
ERS5563944,SHEF-CDD44
ERS5563945,SHEF-CE04A
ERS5563946,SHEF-CE235
ERS5563947,SHEF-CE323
ERS5563948,SHEF-CE36F
ERS5563949,SHEF-CE62A
ERS5563950,SHEF-CE806
ERS5563951,SHEF-CE851
ERS5563952,SHEF-CE8E8
ERS5563953,SHEF-CE930
ERS5563954,SHEF-CE9C7
ERS5563955,SHEF-CEC37
ERS5563956,SHEF-CED25
ERS5563957,SHEF-CEE8C
ERS5563958,SHEF-CF085
ERS5563959,SHEF-CF39B
ERS5563960,SHEF-CF498
ERS5563961,SHEF-CF53B
ERS5563962,SHEF-CF595
ERS5563963,SHEF-CF647
ERS5563964,SHEF-CF717
ERS5563965,SHEF-CF7DB
ERS5563966,SHEF-CFCFA
ERS5563967,SHEF-CFD42
ERS5563968,SHEF-CFE5E
ERS5563969,SHEF-CFFF1
ERS5563970,SHEF-D0151
ERS5563971,SHEF-D0388
ERS5563972,SHEF-D043A
ERS5563973,SHEF-D04EF
ERS5563974,SHEF-D06DA
ERS5563975,SHEF-D0704
ERS5563976,SHEF-D075F
ERS5563977,SHEF-D086B
ERS5563978,SHEF-D087A
ERS5563979,SHEF-D0898
ERS5563980,SHEF-D0959
ERS5563981,SHEF-D09A4
ERS5563982,SHEF-D0B71
ERS5563983,SHEF-D0CC9
ERS5563984,SHEF-D0F57
ERS5563985,SHEF-D0F75
ERS5563986,SHEF-D1202
ERS5563987,SHEF-D12B7
ERS5563988,SHEF-D1545
ERS5563989,SHEF-D1606
ERS5563990,SHEF-D16E8
ERS5563991,SHEF-D1BBC
ERS5563992,SHEF-D1C22
ERS5563993,SHEF-D1CE6
ERS5563994,SHEF-D1D6B
ERS5563995,SHEF-D1EE0
ERS5563996,SHEF-D219B
ERS5563997,SHEF-D29DF
ERS5563998,SHEF-D2EA3
ERS5563999,SHEF-D3042
ERS5564000,SHEF-D32D3
ERS5564005,SHEF-C096B
