# Supplemental File S19 - ENA Accession Number to ID Used in Manuscript
# ENA Accession number conversion
# ena_accession: ENA accession number
# study_id: Sample ID used in this manuscript
ena_accession,study_id
ERS5552226,SHEF-D02E5
ERS5552227,SHEF-CBE70
ERS5552228,SHEF-C6947
ERS5552229,SHEF-CA3BE
ERS5552230,SHEF-CC246
ERS5552231,SHEF-C1BBF
ERS5552232,SHEF-D2993
ERS5552233,SHEF-C8392
ERS5552234,SHEF-CA8A0
ERS5552235,SHEF-D1F29
ERS5552236,SHEF-C8DD0
ERS5552237,SHEF-C82D1
ERS5552238,SHEF-CECFB
ERS5552239,SHEF-CDDBD
ERS5552240,SHEF-C9100
ERS5552241,SHEF-C2B36
ERS5552242,SHEF-CCBD2
ERS5552243,SHEF-CFDD9
ERS5552244,SHEF-C584B
ERS5552245,SHEF-CAEAE
ERS5552246,SHEF-C867B
ERS5552247,SHEF-C79EC
ERS5552248,SHEF-C5C9A
ERS5552249,SHEF-D0A74
ERS5552250,SHEF-C0A4A
ERS5552251,SHEF-C7463
ERS5552252,SHEF-C6C20
ERS5552253,SHEF-D0B35
ERS5552254,SHEF-CB61E
ERS5552255,SHEF-CB7FD
ERS5552256,SHEF-CA14B
ERS5552257,SHEF-C7F08
ERS5552258,SHEF-D2429
ERS5552259,SHEF-C241D
ERS5552260,SHEF-C7C4D
ERS5552261,SHEF-CDEE7
ERS5552262,SHEF-C1047
ERS5552263,SHEF-C9AC9
ERS5552264,SHEF-C1F4A
ERS5552265,SHEF-C368F
ERS5552266,SHEF-CCA6C
ERS5552267,SHEF-C87A5
ERS5552268,SHEF-CE6DF
ERS5552269,SHEF-CAC2C
ERS5552270,SHEF-C4CF5
ERS5552271,SHEF-D1A82
ERS5552272,SHEF-C7E74
ERS5552273,SHEF-C2608
ERS5552274,SHEF-D12C6
ERS5552275,SHEF-C769A
ERS5552276,SHEF-CA460
ERS5552277,SHEF-D1E86
ERS5552278,SHEF-C5289
ERS5552279,SHEF-C93EC
ERS5552280,SHEF-C690B
ERS5552281,SHEF-CC0B5
ERS5552282,SHEF-C6B23
ERS5552283,SHEF-C76D6
ERS5552284,SHEF-C33D3
ERS5552285,SHEF-CA354
ERS5552286,SHEF-C8013
ERS5552287,SHEF-D00EB
ERS5552288,SHEF-D01F7
ERS5552289,SHEF-D0625
ERS5552290,SHEF-CC0D3
ERS5552291,SHEF-CB1E0
ERS5552292,SHEF-C9FF7
ERS5552293,SHEF-CB678
ERS5552294,SHEF-CB906
ERS5552295,SHEF-C1C8F
ERS5552296,SHEF-C759D
ERS5552297,SHEF-CAE08
ERS5552298,SHEF-C6C5D
ERS5552299,SHEF-CC6D1
ERS5552300,SHEF-C095C
ERS5552301,SHEF-CAD1A
ERS5552302,SHEF-C0DE7
ERS5552303,SHEF-CB8FA
ERS5552304,SHEF-D1633
