sample,coverage
SHEF-C2222,0.996
SHEF-C225F,0.997
SHEF-C22AA,0.971
SHEF-C22B9,0.962
SHEF-C22C8,0.97
SHEF-C2310,0.997
SHEF-C232F,0.997
SHEF-C233E,0.989
SHEF-C235C,0.989
SHEF-C237A,0.989
SHEF-C241D,0.97
SHEF-C243B,0.987
SHEF-C2459,0.997
SHEF-C2477,0.997
SHEF-C2565,0.98
SHEF-C25FC,0.988
SHEF-C2608,0.952
SHEF-C2617,0.989
SHEF-C2626,0.997
SHEF-C2671,0.997
SHEF-C26AE,0.97
SHEF-C277E,0.989
SHEF-C27F6,0.997
SHEF-C286C,0.98
SHEF-C28F3,0.97
SHEF-C291E,0.997
SHEF-C293C,0.989
SHEF-C29C3,0.989
SHEF-C2AA2,0.952
SHEF-C2AC0,0.997
SHEF-C2AFD,0.989
SHEF-C2B36,0.97
SHEF-C2B45,0.987
SHEF-C2BDC,0.997
SHEF-C2C51,0.989
SHEF-C2C60,0.954
SHEF-C2C7F,0.997
SHEF-C2CE8,0.961
SHEF-C2CF7,0.997
SHEF-C2D03,0.979
SHEF-C2D30,0.997
SHEF-C2D6D,0.997
SHEF-C2D8B,0.997
SHEF-C2D9A,0.963
SHEF-C2DB8,0.987
SHEF-C2DC7,0.978
SHEF-C2DE5,0.997
SHEF-C2E4C,0.98
SHEF-C2E5B,0.986
SHEF-C2F49,0.971
SHEF-C2F58,0.997
SHEF-C2F76,0.961
SHEF-C3036,0.988
SHEF-C3063,0.997
SHEF-C3090,0.963
SHEF-C30DC,0.954
SHEF-C3115,0.997
SHEF-C3133,0.963
SHEF-C319D,0.987
SHEF-C31CA,0.997
SHEF-C31E8,0.989
SHEF-C3212,0.996
SHEF-C3230,0.987
SHEF-C324F,0.989
SHEF-C32A9,0.97
SHEF-C32C7,0.994
SHEF-C32F4,0.997
SHEF-C3300,0.97
SHEF-C335B,0.997
SHEF-C336A,0.972
SHEF-C3379,0.951
SHEF-C33D3,0.997
SHEF-C343A,0.98
SHEF-C3458,0.97
SHEF-C3485,0.987
SHEF-C3494,0.97
SHEF-C34A3,0.987
SHEF-C3546,0.97
SHEF-C35BF,0.987
SHEF-C35CE,0.987
SHEF-C35DD,0.997
SHEF-C35FB,0.989
SHEF-C3634,0.954
SHEF-C368F,0.988
SHEF-C3740,0.989
SHEF-C37B9,0.963
SHEF-C38B6,0.989
SHEF-C393B,0.989
SHEF-C394A,0.981
SHEF-C3959,0.987
SHEF-C3968,0.988
SHEF-C3977,0.989
SHEF-C3986,0.997
SHEF-C3A0B,0.997
SHEF-C3A56,0.963
SHEF-C3B08,0.997
SHEF-C3B17,0.991
SHEF-C3B35,0.952
SHEF-C3B71,0.997
SHEF-C3C23,0.997
SHEF-C3C50,0.997
SHEF-C3C7E,0.997
SHEF-C3CF6,0.953
SHEF-C3DB7,0.97
SHEF-C3DF3,0.986
SHEF-C3E0F,0.987
SHEF-C3E5A,0.988
SHEF-C3E78,0.994
SHEF-C3F66,0.989
SHEF-C3F84,0.987
SHEF-C3FA2,0.991
SHEF-C3FDF,0.976
SHEF-C4071,0.988
SHEF-C4132,0.989
SHEF-C419C,0.99
SHEF-C41BA,0.997
SHEF-C41F6,0.964
SHEF-C426C,0.997
SHEF-C42B7,0.997
SHEF-C42C6,0.997
SHEF-C4396,0.954
SHEF-C43D2,0.997
SHEF-C440C,0.953
SHEF-C4493,0.997
SHEF-C4554,0.988
SHEF-C4581,0.987
SHEF-C45BE,0.997
SHEF-C4615,0.997
SHEF-C469D,0.997
SHEF-C46E8,0.97
SHEF-C47B8,0.994
SHEF-C47F4,0.98
SHEF-C4800,0.98
SHEF-C482E,0.989
SHEF-C493A,0.989
SHEF-C4994,0.988
SHEF-C49A3,0.987
SHEF-C49C1,0.98
SHEF-C4A91,0.978
SHEF-C4BDA,0.962
SHEF-C4C7D,0.997
SHEF-C4CE6,0.987
SHEF-C4CF5,0.959
SHEF-C4D6B,0.997
SHEF-C4E77,0.997
SHEF-C4E95,0.989
SHEF-C4F0B,0.978
SHEF-C4F56,0.997
SHEF-C4F74,0.997
SHEF-C4FCF,0.987
SHEF-C5070,0.988
SHEF-C50BC,0.997
SHEF-C517D,0.98
SHEF-C51B9,0.997
SHEF-C51E6,0.996
SHEF-C522F,0.979
SHEF-C526B,0.953
SHEF-C5289,0.972
SHEF-C5298,0.988
SHEF-C52C5,0.989
SHEF-C5359,0.997
SHEF-C5395,0.98
SHEF-C541A,0.989
SHEF-C5429,0.978
SHEF-C5483,0.989
SHEF-C54FC,0.997
SHEF-C5535,0.98
SHEF-C5580,0.989
SHEF-C5614,0.997
SHEF-C5650,0.997
SHEF-C569C,0.989
SHEF-C56AB,0.997
SHEF-C56BA,0.988
SHEF-C5711,0.982
SHEF-C576C,0.989
SHEF-C57A8,0.988
SHEF-C57B7,0.981
SHEF-C584B,0.953
SHEF-C5878,0.988
SHEF-C58A5,0.997
SHEF-C590C,0.997
SHEF-C5966,0.98
SHEF-C5984,0.954
SHEF-C59C0,0.97
SHEF-C5A36,0.98
SHEF-C5A45,0.978
SHEF-C5A81,0.995
SHEF-C5B42,0.987
SHEF-C5BF7,0.989
SHEF-C5C21,0.953
SHEF-C5C30,0.989
SHEF-C5C4F,0.997
SHEF-C5C5E,0.989
SHEF-C5C9A,0.971
SHEF-C5D6A,0.989
SHEF-C5D79,0.997
SHEF-C5D97,0.961
SHEF-C5DB5,0.97
SHEF-C5DD3,0.997
SHEF-C5E1C,0.979
SHEF-C5F64,0.997
SHEF-C5FDD,0.962
SHEF-C5FEC,0.961
SHEF-C6060,0.97
SHEF-C608E,0.97
SHEF-C60F7,0.988
SHEF-C616D,0.971
SHEF-C625B,0.988
SHEF-C62E2,0.98
SHEF-C6367,0.981
SHEF-C6376,0.997
SHEF-C6464,0.972
SHEF-C6491,0.988
SHEF-C64CE,0.988
SHEF-C6534,0.954
SHEF-C6543,0.989
SHEF-C65AD,0.997
SHEF-C65DA,0.997
SHEF-C65F8,0.989
SHEF-C6640,0.989
SHEF-C668C,0.98
SHEF-C66D7,0.971
SHEF-C676B,0.989
SHEF-C6789,0.997
SHEF-C6798,0.997
SHEF-C67C5,0.989
SHEF-C682C,0.98
SHEF-C6859,0.954
SHEF-C6886,0.997
SHEF-C68A4,0.989
SHEF-C68C2,0.974
SHEF-C690B,0.989
SHEF-C691A,0.989
SHEF-C6929,0.961
SHEF-C6947,0.988
SHEF-C69DE,0.962
SHEF-C69FC,0.981
SHEF-C6ABD,0.989
SHEF-C6B23,0.98
SHEF-C6B7E,0.996
SHEF-C6C02,0.989
SHEF-C6C11,0.997
