sample,coverage
SHEF-D0151,0.973
SHEF-D0160,0.987
SHEF-D018E,0.988
SHEF-D019D,0.981
SHEF-D01CA,0.995
SHEF-D01F7,0.997
SHEF-D029A,0.989
SHEF-D02E5,0.962
SHEF-D0300,0.997
SHEF-D0388,0.997
SHEF-D03C4,0.963
SHEF-D043A,0.989
SHEF-D04D0,0.997
SHEF-D04EF,0.997
SHEF-D0528,0.989
SHEF-D0591,0.954
SHEF-D05A0,0.955
SHEF-D0625,0.988
SHEF-D06DA,0.989
SHEF-D0704,0.988
SHEF-D075F,0.989
SHEF-D0801,0.977
SHEF-D086B,0.997
SHEF-D087A,0.997
SHEF-D0898,0.996
SHEF-D08B6,0.951
SHEF-D08F2,0.962
SHEF-D091D,0.988
SHEF-D093B,0.969
SHEF-D0959,0.997
SHEF-D0986,0.997
SHEF-D09A4,0.989
SHEF-D0A74,0.984
SHEF-D0B35,0.991
SHEF-D0B62,0.989
SHEF-D0B71,0.997
SHEF-D0BBD,0.963
SHEF-D0BDB,0.989
SHEF-D0C9C,0.961
SHEF-D0CBA,0.997
SHEF-D0CC9,0.988
SHEF-D0CF6,0.997
SHEF-D0D99,0.997
SHEF-D0DD5,0.98
SHEF-D0EC3,0.989
SHEF-D0F57,0.997
SHEF-D0F75,0.995
SHEF-D0F84,0.989
SHEF-D1026,0.98
SHEF-D1053,0.997
SHEF-D1080,0.97
SHEF-D10CC,0.98
SHEF-D10F9,0.989
SHEF-D11AB,0.99
SHEF-D11D8,0.952
SHEF-D1202,0.988
SHEF-D12B7,0.969
SHEF-D12D5,0.953
SHEF-D130F,0.989
SHEF-D13D2,0.987
SHEF-D141B,0.997
SHEF-D1475,0.953
SHEF-D14DF,0.997
SHEF-D14FD,0.97
SHEF-D1536,0.997
SHEF-D1545,0.988
SHEF-D15BE,0.987
SHEF-D15DC,0.987
SHEF-D15FA,0.988
SHEF-D1606,0.997
SHEF-D1633,0.988
SHEF-D1660,0.997
SHEF-D169D,0.98
SHEF-D16E8,0.997
SHEF-D174F,0.962
SHEF-D179A,0.967
SHEF-D17E5,0.953
SHEF-D18B5,0.997
SHEF-D193A,0.989
SHEF-D19B2,0.995
SHEF-D19C1,0.988
SHEF-D1A82,0.962
SHEF-D1ACE,0.987
SHEF-D1BBC,0.961
SHEF-D1C22,0.997
SHEF-D1CD7,0.981
SHEF-D1CE6,0.98
SHEF-D1D3E,0.997
SHEF-D1D6B,0.989
SHEF-D1DE3,0.978
SHEF-D1E0E,0.962
SHEF-D1E3B,0.954
SHEF-D1E59,0.989
SHEF-D1E68,0.98
SHEF-D1E86,0.98
SHEF-D1E95,0.979
SHEF-D1EE0,0.997
SHEF-D1F29,0.988
SHEF-D1F47,0.98
SHEF-D1F56,0.997
SHEF-D1F65,0.997
SHEF-D1F74,0.997
SHEF-D20CB,0.982
SHEF-D20F8,0.988
SHEF-D2104,0.997
SHEF-D219B,0.989
SHEF-D21AA,0.98
SHEF-D223E,0.962
SHEF-D227A,0.978
SHEF-D23B3,0.95
SHEF-D2429,0.989
SHEF-D2465,0.98
SHEF-D259F,0.962
SHEF-D269C,0.961
SHEF-D2702,0.98
SHEF-D2711,0.988
SHEF-D2720,0.997
SHEF-D273F,0.988
SHEF-D275D,0.987
SHEF-D2869,0.971
SHEF-D28E1,0.97
SHEF-D2957,0.997
SHEF-D2993,0.98
SHEF-D29B1,0.987
SHEF-D29DF,0.989
SHEF-D29EE,0.987
SHEF-D2A54,0.98
SHEF-D2AFA,0.991
SHEF-D2B51,0.978
SHEF-D2BD9,0.989
SHEF-D2BF7,0.988
SHEF-D2C21,0.989
SHEF-D2C8B,0.987
SHEF-D2CD6,0.978
SHEF-D2CE5,0.991
SHEF-D2DA6,0.997
SHEF-D2DE2,0.97
SHEF-D2E2B,0.997
SHEF-D2EA3,0.997
SHEF-D2F82,0.997
SHEF-D3024,0.989
SHEF-D3042,0.981
SHEF-D3051,0.962
SHEF-D307F,0.98
SHEF-D31B8,0.98
SHEF-D32D3,0.989
SHEF-D3358,0.989
SHEF-D33C1,0.987
SHEF-D3482,0.97
SHEF-D34A0,0.954
