# Supplemental File S5 - Canonical Sub-Genomic RNA Counts From In Vitro Illumina Metagenomic Data
# Canonical ORF counts of sub-genomic RNA from an in vitro model of SARS-CoV-2 infection assayed using Illumina metaganomic methods
# mapped_reads: Total mapped reads
# amplicons: The amplicon(s) that gave rise to the sub-genomic RNA
# sgRNA_count: The number of sub-genomic reads at this ORF
# coverage: Average coverage in a wiondow around ORF start site
# sgRPTL: Sub-genomic reads per thousand around ORF start site (coverage)
# sgRPHT: Sub-genomic reads per hundred thousand mapped reads
sample,mapped_reads,orf,sgRNA_count,coverage,sgRPTL,sgRPHT
VA_GLA1_24_S17,247864,ORF7a,474,748.0,633.6898395721926,19.12339024626408
VA_GLA1_24_S17,247864,ORF8,100,2283.5,43.79242391066345,4.034470516089469
VA_GLA1_24_S17,247864,N,1725,3931.5,438.763830599008,69.59461640254332
VA_GLA1_48_S49,1327409,S,712,3614.0,197.01162147205312,5.363832850312149
VA_GLA1_48_S49,1327409,ORF3a,1761,3414.5,515.7416898521013,13.266446136797324
VA_GLA1_48_S49,1327409,E,173,3799.0,45.53829955251382,1.3032908470561824
VA_GLA1_48_S49,1327409,M,632,2052.0,307.99220272904483,4.76115500196247
VA_GLA1_48_S49,1327409,ORF6,111,2651.0,41.87099207846096,0.8362155145851805
VA_GLA1_48_S49,1327409,ORF7a,3295,2836.0,1161.8476727785614,24.82279387890243
VA_GLA1_48_S49,1327409,ORF8,330,3816.5,86.46665793266081,2.486046124442429
VA_GLA1_48_S49,1327409,N,6166,5223.0,1180.5475780202948,46.45139516155156
VA_GLA1_72_S97,1874712,ORF1a,1,2378.0,0.42052144659377627,0.005334152659181783
VA_GLA1_72_S97,1874712,S,1494,3138.0,476.0994263862333,7.9692240728175845
VA_GLA1_72_S97,1874712,ORF3a,2840,4118.0,689.655172413793,15.148993552076265
VA_GLA1_72_S97,1874712,E,240,3794.0,63.257775434897205,1.280196638203628
VA_GLA1_72_S97,1874712,M,1660,2799.0,593.0689531975705,8.85469341424176
VA_GLA1_72_S97,1874712,ORF6,287,3189.0,89.99686422075885,1.530901813185172
VA_GLA1_72_S97,1874712,ORF7a,4824,3401.0,1418.406351073214,25.731952427892924
VA_GLA1_72_S97,1874712,ORF8,786,4913.0,159.983716670059,4.192643990116882
VA_GLA1_72_S97,1874712,N,11863,7905.0,1500.6957621758381,63.2790529958735
VA_PHE2_24_S2,545356,S,336,1487.0,225.95830531271014,6.161113107768137
VA_PHE2_24_S2,545356,ORF3a,380,1058.5,358.99858290033063,6.967925538547298
VA_PHE2_24_S2,545356,E,60,1383.0,43.38394793926247,1.10019876924431
VA_PHE2_24_S2,545356,M,626,918.0,681.917211328976,11.478740492448969
VA_PHE2_24_S2,545356,ORF6,44,1009.0,43.60753221010902,0.8068124307791608
VA_PHE2_24_S2,545356,ORF7a,1462,1863.0,784.7557702630166,26.808176677253023
VA_PHE2_24_S2,545356,ORF8,300,3949.0,75.96859964547987,5.500993846221551
VA_PHE2_24_S2,545356,N,3343,4202.0,795.5735364112328,61.29940809306214
VA_PHE2_48_S42,992073,ORF1a,1,2713.0,0.36859565057132326,0.010079903394205869
VA_PHE2_48_S42,992073,S,360,3437.0,104.74250800116381,3.628765221914113
VA_PHE2_48_S42,992073,ORF3a,1488,2613.0,569.4603903559128,14.998896250578333
VA_PHE2_48_S42,992073,E,149,2271.0,65.60986349625716,1.5019056057366746
VA_PHE2_48_S42,992073,M,860,1496.0,574.8663101604278,8.668716919017047
VA_PHE2_48_S42,992073,ORF6,94,2419.0,38.85903265812319,0.9475109190553518
VA_PHE2_48_S42,992073,ORF7a,3536,2112.0,1674.2424242424242,35.642538401911956
VA_PHE2_48_S42,992073,ORF8,512,3928.5,130.32964235713376,5.160910537833405
VA_PHE2_48_S42,992073,N,6439,4579.0,1406.2022275606028,64.90449795529159
VA_PHE2_72_S82,1437799,ORF1a,2,2625.0,0.7619047619047619,0.013910150167026129
VA_PHE2_72_S82,1437799,S,657,3379.0,194.4362237348328,4.569484329868083
VA_PHE2_72_S82,1437799,ORF3a,1686,3496.0,482.26544622425627,11.726256590803025
VA_PHE2_72_S82,1437799,E,166,3232.0,51.36138613861386,1.1545424638631687
VA_PHE2_72_S82,1437799,M,556,1207.0,460.6462303231151,3.8670217464332635
VA_PHE2_72_S82,1437799,ORF6,106,2357.0,44.97242257106491,0.7372379588523849
VA_PHE2_72_S82,1437799,ORF7a,4527,2498.5,1811.8871322793677,31.48562490306364
VA_PHE2_72_S82,1437799,ORF8,680,3865.5,175.91514681153797,4.729451056788884
VA_PHE2_72_S82,1437799,N,8636,5713.0,1511.640119026781,60.06402842121882
VA_PHE2_72_S82,1437799,N*,1,4025.0,0.24844720496894407,0.006955075083513064
VAT_GLA2_24_S34,1729749,ORF1a,1,5086.0,0.19661816751867872,0.005781185593979242
VAT_GLA2_24_S34,1729749,S,970,2852.0,340.1122019635344,5.607750026159865
VAT_GLA2_24_S34,1729749,ORF3a,984,3324.5,295.98435855015794,5.688686624475575
VAT_GLA2_24_S34,1729749,E,74,3111.0,23.786563805850207,0.4278077339544639
VAT_GLA2_24_S34,1729749,M,541,1753.0,308.61380490587567,3.12762140634277
VAT_GLA2_24_S34,1729749,ORF6,65,2289.0,28.39667977282656,0.37577706360865076
VAT_GLA2_24_S34,1729749,ORF7a,1048,3421.0,306.3431745103771,6.058682502490246
VAT_GLA2_24_S34,1729749,ORF8,231,3648.5,63.313690557763465,1.335453872209205
VAT_GLA2_24_S34,1729749,N,2551,5582.0,457.0046578287352,14.747804450241047
VAT_GLA2_48_S73,1303555,S,1275,2867.5,444.6381865736704,9.780945184514653
VAT_GLA2_48_S73,1303555,ORF3a,1581,2964.0,533.4008097165992,12.12837202879817
VAT_GLA2_48_S73,1303555,E,214,2528.0,84.65189873417721,1.6416645250871653
VAT_GLA2_48_S73,1303555,M,2313,2755.0,839.5644283121597,17.743785264143053
VAT_GLA2_48_S73,1303555,ORF6,163,2307.0,70.65452969224101,1.2504267177065793
VAT_GLA2_48_S73,1303555,ORF7a,1567,2511.5,623.9299223571571,12.020973415007422
VAT_GLA2_48_S73,1303555,ORF8,414,4085.0,101.34638922888617,3.175930436383582
VAT_GLA2_48_S73,1303555,N,3976,5978.0,665.1053864168618,30.501206316572755
VAT_GLA2_72_S113,2693851,S,1981,4059.0,488.0512441488051,7.353784600558828
VAT_GLA2_72_S113,2693851,ORF3a,2002,4284.0,467.3202614379085,7.431739914345671
VAT_GLA2_72_S113,2693851,E,173,3426.5,50.48883700569094,0.6422032992916089
VAT_GLA2_72_S113,2693851,M,768,1976.5,388.56564634454844,2.8509371899188185
